epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.401,1.23197,1.89196,1.19389,0.95677,0.88428,0.93359,0.59693,1.21035,1.05651,1.13757,0.00332579,0.00332579,0.00332579
2,364.855,1.21056,0.99076,1.11772,0.94116,0.89203,0.93074,0.5866,1.18915,0.82166,1.14448,0.0065932,0.0065932,0.0065932
3,543.577,1.24751,0.86129,1.14771,0.92299,0.83543,0.90132,0.57756,1.27953,0.79825,1.19405,0.00979461,0.00979461,0.00979461
4,719.147,1.27061,0.83021,1.17224,0.93411,0.84647,0.90102,0.56676,1.32348,0.82134,1.25775,0.009703,0.009703,0.009703
5,894.924,1.23886,0.7568,1.16536,0.94391,0.88934,0.92921,0.61361,1.21399,0.69366,1.1916,0.009604,0.009604,0.009604
6,1072.14,1.22073,0.71607,1.16145,0.9406,0.88727,0.92793,0.61148,1.21583,0.65046,1.1749,0.009505,0.009505,0.009505
7,1248.97,1.22115,0.70186,1.16994,0.93625,0.87927,0.93003,0.63197,1.17445,0.64734,1.15313,0.009406,0.009406,0.009406
8,1425.84,1.19666,0.67317,1.14706,0.96814,0.90478,0.94049,0.62591,1.19375,0.62215,1.15364,0.009307,0.009307,0.009307
9,1600.62,1.18803,0.66415,1.1364,0.97233,0.90797,0.94608,0.63482,1.17114,0.6096,1.13216,0.009208,0.009208,0.009208
10,1777.66,1.16944,0.64252,1.12602,0.95695,0.9013,0.94063,0.63925,1.19187,0.59368,1.14144,0.009109,0.009109,0.009109
11,1953.98,1.16713,0.63117,1.12114,0.95346,0.90843,0.94517,0.63997,1.15346,0.57392,1.12429,0.00901,0.00901,0.00901
12,2130.4,1.16353,0.61898,1.11684,0.97873,0.92237,0.95553,0.66014,1.14204,0.54121,1.12722,0.008911,0.008911,0.008911
13,2307.4,1.14753,0.60677,1.11277,0.96673,0.90615,0.9503,0.64811,1.16495,0.54388,1.13122,0.008812,0.008812,0.008812
14,2483.91,1.14346,0.59893,1.11634,0.97247,0.9139,0.95596,0.66709,1.12467,0.546,1.12025,0.008713,0.008713,0.008713
15,2660.67,1.14997,0.59767,1.11892,0.97042,0.91845,0.95059,0.65339,1.13385,0.53731,1.11044,0.008614,0.008614,0.008614
16,2837.86,1.13832,0.59134,1.10968,0.97123,0.92073,0.95634,0.6648,1.10683,0.53447,1.09796,0.008515,0.008515,0.008515
17,3014.71,1.13131,0.5827,1.10512,0.98151,0.91919,0.96188,0.67296,1.12557,0.52006,1.12301,0.008416,0.008416,0.008416
18,3191.34,1.13671,0.58404,1.11451,0.97604,0.92301,0.96206,0.67454,1.10503,0.5251,1.11074,0.008317,0.008317,0.008317
19,3368.23,1.11863,0.5716,1.09824,0.97619,0.91528,0.96058,0.66065,1.15586,0.53045,1.11059,0.008218,0.008218,0.008218
20,3545.51,1.12484,0.57234,1.09322,0.97784,0.92847,0.96102,0.67126,1.11749,0.50603,1.09864,0.008119,0.008119,0.008119
21,3722.76,1.12949,0.5687,1.10248,0.97974,0.92893,0.96225,0.67534,1.1066,0.50018,1.10669,0.00802,0.00802,0.00802
22,3902.1,1.1189,0.56365,1.09798,0.97749,0.92984,0.96069,0.67328,1.10529,0.50193,1.11052,0.007921,0.007921,0.007921
23,4082.27,1.11228,0.55718,1.0949,0.98077,0.92965,0.96289,0.67775,1.09823,0.49525,1.08732,0.007822,0.007822,0.007822
24,4261.81,1.10585,0.54873,1.0914,0.97904,0.92528,0.96011,0.67511,1.10253,0.50329,1.11417,0.007723,0.007723,0.007723
25,4439.08,1.10473,0.54572,1.08669,0.97479,0.93361,0.96475,0.67672,1.10589,0.48192,1.08675,0.007624,0.007624,0.007624
26,4616.49,1.09309,0.53809,1.07858,0.97424,0.9305,0.95978,0.67456,1.10221,0.48645,1.10339,0.007525,0.007525,0.007525
27,4791.92,1.09532,0.53499,1.08826,0.97813,0.93714,0.96444,0.6804,1.08673,0.46816,1.07507,0.007426,0.007426,0.007426
28,4968.72,1.09391,0.53202,1.07372,0.98174,0.93086,0.96546,0.6855,1.09154,0.47135,1.07878,0.007327,0.007327,0.007327
29,5145.94,1.08568,0.52961,1.07163,0.97897,0.93336,0.96456,0.68204,1.0833,0.47575,1.08026,0.007228,0.007228,0.007228
30,5321.43,1.08322,0.52458,1.07104,0.97449,0.9399,0.9665,0.68574,1.07743,0.46512,1.07559,0.007129,0.007129,0.007129
31,5498.5,1.07872,0.5213,1.07126,0.98135,0.93508,0.96946,0.68796,1.07503,0.46342,1.07672,0.00703,0.00703,0.00703
32,5673.79,1.0795,0.51755,1.06614,0.98594,0.92665,0.96606,0.69547,1.075,0.44889,1.06906,0.006931,0.006931,0.006931
33,5850.04,1.07793,0.51693,1.0716,0.97863,0.93075,0.96488,0.68826,1.08771,0.46363,1.07747,0.006832,0.006832,0.006832
34,6026.26,1.08303,0.52251,1.07076,0.98333,0.92711,0.96535,0.69159,1.07493,0.4559,1.07632,0.006733,0.006733,0.006733
35,6203.07,1.08253,0.5188,1.06734,0.98232,0.93394,0.96872,0.69229,1.07525,0.44787,1.06349,0.006634,0.006634,0.006634
36,6379.83,1.06913,0.50631,1.06367,0.98464,0.93394,0.97134,0.70015,1.06184,0.44647,1.06331,0.006535,0.006535,0.006535
37,6556.85,1.06878,0.5074,1.0677,0.98019,0.93941,0.96813,0.69684,1.07048,0.44431,1.07101,0.006436,0.006436,0.006436
38,6731.98,1.07113,0.50404,1.07078,0.98411,0.93112,0.96981,0.69543,1.07666,0.44082,1.06514,0.006337,0.006337,0.006337
39,6907.64,1.06322,0.50043,1.05922,0.98147,0.93804,0.97115,0.69515,1.07991,0.44379,1.0734,0.006238,0.006238,0.006238
40,7084.42,1.05075,0.49481,1.05013,0.9899,0.93748,0.97012,0.698,1.07104,0.43449,1.06362,0.006139,0.006139,0.006139
41,7262.13,1.065,0.49895,1.05854,0.98544,0.93941,0.9695,0.70116,1.06043,0.4346,1.05998,0.00604,0.00604,0.00604
42,7439.68,1.0457,0.4885,1.04787,0.98457,0.94077,0.96949,0.69906,1.06463,0.43364,1.05581,0.005941,0.005941,0.005941
43,7616.8,1.05784,0.49154,1.05166,0.98505,0.94123,0.97095,0.69792,1.05927,0.42531,1.05573,0.005842,0.005842,0.005842
44,7794.6,1.05459,0.48806,1.05173,0.97472,0.94837,0.96968,0.69922,1.06052,0.42093,1.04834,0.005743,0.005743,0.005743
45,7973.01,1.0451,0.47982,1.04828,0.98752,0.93753,0.97314,0.70268,1.06254,0.4238,1.05154,0.005644,0.005644,0.005644
46,8153.26,1.04301,0.48461,1.04731,0.98239,0.94059,0.97204,0.70105,1.05535,0.41816,1.05114,0.005545,0.005545,0.005545
